Year,temp_anomaly,elnino,elnino.l,elnino_strength,ond,ond.above
1950,-0.23,0,NA,no,-0.7,0
1951,-0.08,1,0,weak,0.7,1
1952,-0.04,1,1,weak,0.2,1
1953,0.05,1,1,weak,0.8,1
1954,-0.14,1,1,weak,-0.5,0
1955,-0.13,0,1,no,-1.6,0
1956,-0.24,0,0,no,-0.5,0
1957,0.02,1,0,strong,1.3,1
1958,0.07,1,1,strong,0.6,1
1959,0.04,1,1,weak,-0.1,0
1960,-0.02,0,1,no,0,0
1961,0.09,0,0,no,-0.2,0
1962,0.02,0,0,no,-0.3,0
1963,0.02,1,0,moderate,1.2,1
1964,-0.25,1,1,moderate,-0.8,0
1965,-0.17,1,1,strong,1.8,1
1966,-0.07,1,1,strong,-0.1,0
1967,-0.02,0,1,no,-0.4,0
1968,-0.1,1,0,weak,0.6,1
1969,0.01,1,1,weak,0.8,1
1970,0.07,1,1,weak,-0.9,0
1971,-0.07,0,1,no,-0.9,0
1972,-0.02,1,0,strong,2,1
1973,0.23,1,1,strong,-1.9,0
1974,-0.04,0,1,no,-0.7,0
1975,0.02,0,0,no,-1.5,0
1976,-0.17,1,0,weak,0.8,1
1977,0.21,1,1,weak,0.8,1
1978,0.14,1,1,weak,-0.1,0
1979,0.2,1,1,weak,0.5,1
1980,0.34,1,1,weak,0.1,1
1981,0.43,0,1,no,-0.1,0
1982,0.13,1,0,very strong,2.1,1
1983,0.39,1,1,very strong,-0.8,0
1984,0.21,0,1,no,-0.9,0
1985,0.19,0,0,no,-0.2,0
1986,0.25,1,0,moderate,1,1
1987,0.41,1,1,moderate,1.2,1
1988,0.51,1,1,moderate,-1.7,0
1989,0.38,0,1,no,-0.2,0
1990,0.53,0,0,no,0.4,1
1991,0.52,1,0,moderate,1.2,1
1992,0.23,1,1,moderate,-0.1,0
1993,0.26,0,1,no,0.1,1
1994,0.38,1,0,weak,0.9,1
1995,0.55,1,1,weak,-1,0
1996,0.47,0,1,no,-0.4,0
1997,0.53,1,0,very strong,2.3,1
1998,0.83,1,1,very strong,-1.3,0
1999,0.58,0,1,no,-1.4,0
2000,0.57,0,0,no,-0.8,0
2001,0.66,0,0,no,-0.3,0
2002,0.78,1,0,moderate,1.3,1
2003,0.76,1,1,moderate,0.4,1
2004,0.67,1,1,weak,0.7,1
2005,0.86,1,1,weak,-0.4,0
2006,0.75,1,1,weak,0.9,1
2007,0.84,1,1,weak,-1.2,0
2008,0.63,0,1,no,-0.5,0
2009,0.77,1,0,moderate,1.2,1
2010,0.9,1,1,moderate,-1.3,0
2011,0.76,0,1,no,-0.9,0
2012,0.75,0,0,no,0.2,1
2013,0.79,0,0,no,-0.2,0
2014,0.85,0,0,no,0.6,1
2015,0.95,1,0,very strong,2.2,1
2016,1.23,1,1,very strong,-0.8,0
